name,url,current_price,original_price,discount_pct,rating,review_count
KITCHA 3PCS Large Capacity Plastic Water Bottle Set – 1200ML Car Tumbler with Handle & Straw + 700ML Sports Bottle + 260ML Mini Cup – Reusable Drinking Cups,https://www.jumia.co.ke/kitcha-3pcs-large-capacity-plastic-water-bottle-set-1200ml-car-tumbler-with-handle-straw-700ml-sports-bottle-260ml-mini-cup-reusable-drinking-cups-326564771.html,799,1608,50,3.7,3
"Em Blender 2 In 1 Grinding Machine With Durable Motor 1.6L, Black BD04",https://www.jumia.co.ke/em-blender-2-in-1-grinding-machine-with-durable-motor-1.6l-black-bd04-316266960.html,1599,3999,60,4.0,4
Ramtons RM/591- 3lt Cordless Kettle (1YR WRTY),https://www.jumia.co.ke/ramtons-rm591-3lt-cordless-kettle-1yr-wrty-177871891.html,1819,3150,42,4.3,4
Em 7 Speed Hand Mixer High Power Electric Hand Mixer,https://www.jumia.co.ke/em-7-speed-hand-mixer-high-power-electric-hand-mixer-316270800.html,699,1999,65,3.3,3
Rashnik Rn-999 2 In 1 Blender & Grinder –1.5l – 350w - Green(6 Months WRTY),https://www.jumia.co.ke/rashnik-rn-999-2-in-1-blender-grinder-1.5l-350w-green6-months-wrty-327846909.html,1390,1716,19,4.4,4
Sonar SR-B3 Hot and Normal Standing Water Dispenser - Black (1YR WRTY),https://www.jumia.co.ke/sonar-sr-b3-hot-and-normal-standing-water-dispenser-black-1yr-wrty-304353430.html,2390,3000,20,4.1,4
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",https://www.jumia.co.ke/ramtons-rf203-2-door-direct-cool-fridge-128-litres-silver1yr-wrty-258698033.html,24999,38110,34,4.1,4
Em Heavy Duty Commercial Pro Blender + Grinder Jar COMMERCIAL HEAVY DUTY Blender High speed for easy operations Sharp. 2L large capacity DURABLE BD05,https://www.jumia.co.ke/em-heavy-duty-commercial-pro-blender-grinder-jar-commercial-heavy-duty-blender-high-speed-for-easy-operations-sharp.-2l-large-capacity-durable-bd05-323137548.html,2299,5999,62,3.9,3
Nice One Set of 6pcs 215ML High Quality Glass Whiskey Beer Glass Glassware Cup 60138 GLASS CUP (XM),https://www.jumia.co.ke/nice-one-set-of-6pcs-215ml-high-quality-glass-whiskey-beer-glass-glassware-cup-60138-glass-cup-xm-325666074.html,559,999,44,4.2,4
Em WD02 Water Dispenser Hot And Normal With Storage Cabinet - Black Standing Design Water Dispenser WD02 (1YR WRTY),https://www.jumia.co.ke/em-wd02-water-dispenser-hot-and-normal-with-storage-cabinet-black-standing-design-water-dispenser-wd02-1yr-wrty-317966472.html,2599,4999,48,3.9,3
